PointCloud,H1_Birth,H1_Death
Fp1_Col1_Fp1_Col2,24.7464695,36.55181503
Fp1_Col1_Fp1_Col2,24.72016716,26.97309685
Fp1_Col1_Fp1_Col2,24.58219337,25.77666092
Fp1_Col1_Fp1_Col2,24.09857559,24.37906647
Fp1_Col1_Fp1_Col2,23.62826538,26.63795853
Fp1_Col1_Fp1_Col2,23.56484985,25.19417
Fp1_Col1_Fp1_Col2,23.4212532,32.10522842
Fp1_Col1_Fp1_Col2,23.29460716,25.6397953
Fp1_Col1_Fp1_Col2,22.88638687,28.8944931
Fp1_Col1_Fp1_Col2,22.48455429,24.86949539
Fp1_Col1_Fp1_Col2,22.41062355,31.77761078
Fp1_Col1_Fp1_Col2,22.16518784,22.92524529
Fp1_Col1_Fp1_Col2,22.15606499,23.26301575
Fp1_Col1_Fp1_Col2,22.04737282,25.13551903
Fp1_Col1_Fp1_Col2,22.00156593,24.6135273
Fp1_Col1_Fp1_Col2,21.96567345,24.45149994
Fp1_Col1_Fp1_Col2,21.95299149,29.39722633
Fp1_Col1_Fp1_Col2,21.87036514,27.25084877
Fp1_Col1_Fp1_Col2,21.83986092,21.85627747
Fp1_Col1_Fp1_Col2,21.45756912,22.8786602
Fp1_Col1_Fp1_Col2,21.40134239,23.52296257
Fp1_Col1_Fp1_Col2,21.32621574,34.41088867
Fp1_Col1_Fp1_Col2,21.26014709,21.31692123
Fp1_Col1_Fp1_Col2,21.25959206,21.44361305
Fp1_Col1_Fp1_Col2,21.19134331,25.64255142
Fp1_Col1_Fp1_Col2,20.9198761,29.42084694
Fp1_Col1_Fp1_Col2,20.85833168,25.96577072
Fp1_Col1_Fp1_Col2,20.591959,21.42451096
Fp1_Col1_Fp1_Col2,20.47507477,27.36944771
Fp1_Col1_Fp1_Col2,20.379776,21.38595581
Fp1_Col1_Fp1_Col2,20.26105499,22.93076515
Fp1_Col1_Fp1_Col2,19.9948101,22.37122726
Fp1_Col1_Fp1_Col2,19.90079689,35.08650589
Fp1_Col1_Fp1_Col2,19.80620193,22.80588341
Fp1_Col1_Fp1_Col2,19.74140167,20.16498566
Fp1_Col1_Fp1_Col2,19.62749863,19.66742516
Fp1_Col1_Fp1_Col2,19.12517166,19.85101128
Fp1_Col1_Fp1_Col2,18.80557442,19.30798531
Fp1_Col1_Fp1_Col2,18.79052925,20.76132584
Fp1_Col1_Fp1_Col2,18.78333092,21.18484688
Fp1_Col1_Fp1_Col2,18.5768013,21.56458855
Fp1_Col1_Fp1_Col2,18.4323597,19.00999641
Fp1_Col1_Fp1_Col2,18.35144043,18.48045731
Fp1_Col1_Fp1_Col2,18.2711525,23.3524189
Fp1_Col1_Fp1_Col2,18.24999046,23.11067963
Fp1_Col1_Fp1_Col2,18.10997772,22.99925423
Fp1_Col1_Fp1_Col2,18.10433769,19.77283859
Fp1_Col1_Fp1_Col2,18.05055618,22.40413666
Fp1_Col1_Fp1_Col2,17.97987175,18.97369957
Fp1_Col1_Fp1_Col2,17.92886353,25.43236732
Fp1_Col1_Fp1_Col2,17.90184593,23.43046761
Fp1_Col1_Fp1_Col2,17.71207047,17.75501251
Fp1_Col1_Fp1_Col2,17.70939064,23.66495895
Fp1_Col1_Fp1_Col2,17.67609596,22.62131119
