Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,F8_Col1,F8_Col2,T7_Col1,T7_Col2,T8_Col1,T8_Col2,P7_Col1,P7_Col2,P8_Col1,P8_Col2,Cz_Col1,Cz_Col2
-80.9926071166992,-69.6078567504883,-22.6660480499268,-14.7582397460938,-866.562438964844,-288.914276123047,-62.1869163513184,-29.546350479126,-77.3664398193359,39.113697052002,-177.988418579102,47.791088104248,-146.216766357422,-108.293067932129,-270.240539550781,-54.4821815490723,4.30828857421875,141.230377197266,-75.7982711791992,-46.610595703125,-47.0088958740234,67.0386962890625,-166.296600341797,-55.2059593200684,49.9393920898438,122.612686157227,-162.189254760742,-91.7768783569336,-395.953094482422,140.121948242188
-71.5886306762695,-0.895626902580261,-46.2965698242188,69.288459777832,-863.141296386719,-234.74592590332,-96.3050918579102,40.7354049682617,-143.744934082031,-19.1890811920166,-158.480239868164,22.4877147674561,-219.935211181641,-82.0199356079102,-330.154388427734,-30.6798572540283,-27.0711879730225,169.00798034668,-105.273498535156,-27.7755851745605,-126.73656463623,129.176681518555,-212.146942138672,-119.250228881836,-19.0317859649658,171.62744140625,-220.98600769043,-42.8561515808105,-467.704559326172,27.6935710906982
-30.4406585693359,9.63272380828857,-47.2147216796875,124.214241027832,-819.680969238281,-230.058868408203,-143.23828125,79.9361267089844,-204.433242797852,-123.679328918457,-134.745727539062,-49.4462623596191,-287.87255859375,-47.2185249328613,-355.638336181641,-16.4427585601807,-20.7222290039062,186.277435302734,-129.983642578125,-51.307315826416,-168.368774414062,138.146255493164,-219.518981933594,-139.337829589844,-52.286491394043,196.102386474609,-267.960968017578,-29.9283676147461,-449.079956054688,-69.5553588867188
-2.40278577804565,-78.3414459228516,-28.3504810333252,180.120376586914,-747.116027832031,-264.829742431641,-183.758804321289,87.7616577148438,-230.552093505859,-163.696395874023,-81.2202987670898,-144.133453369141,-304.386810302734,-28.318244934082,-340.130676269531,-14.647120475769,5.13728141784668,179.299621582031,-165.240173339844,-105.257225036621,-163.977844238281,125.603019714355,-261.692199707031,-98.6351852416992,-58.4374580383301,163.392501831055,-317.352783203125,2.6936821937561,-365.039154052734,-143.746154785156
-43.6767311096191,-185.155792236328,-26.9121780395508,190.552536010742,-732.4130859375,-304.482635498047,-229.689468383789,73.1916656494141,-225.033706665039,-153.772766113281,-46.130500793457,-174.245346069336,-291.933074951172,-42.7146606445312,-328.382690429688,-44.9764823913574,9.82214736938477,134.460052490234,-217.833877563477,-131.189666748047,-156.330169677734,121.757133483887,-309.84228515625,-83.724609375,-73.9807891845703,111.598609924316,-326.749450683594,-12.6217584609985,-294.357696533203,-198.048370361328
-93.8933639526367,-205.390655517578,-74.9152145385742,174.646820068359,-762.382629394531,-297.770050048828,-266.638641357422,80.4434204101562,-213.28971862793,-154.045074462891,-41.0919418334961,-164.183578491211,-241.003005981445,-39.8169364929199,-304.140380859375,-30.545389175415,-13.2270536422729,126.716552734375,-236.166870117188,-152.300048828125,-137.865188598633,106.739608764648,-308.520477294922,-122.071434020996,-69.4939117431641,87.3583297729492,-269.310028076172,-57.1459007263184,-203.390823364258,-225.372283935547
-126.032371520996,-174.720031738281,-99.8065032958984,178.645156860352,-770.323669433594,-274.780090332031,-231.054748535156,103.436668395996,-200.826126098633,-196.992874145508,-2.91757822036743,-174.632064819336,-164.529357910156,-44.822452545166,-258.78955078125,13.1999025344849,-26.6294288635254,138.447219848633,-240.050399780273,-181.862335205078,-90.4903869628906,82.6521301269531,-299.912322998047,-161.644729614258,-28.5956707000732,55.633731842041,-229.050415039062,-46.6299324035645,-76.3002090454102,-247.427139282227
-165.547882080078,-173.448974609375,-73.7921524047852,135.185485839844,-743.8828125,-263.018493652344,-142.926696777344,41.8746223449707,-189.618698120117,-249.588577270508,79.230712890625,-200.119583129883,-157.298965454102,-112.484390258789,-237.592529296875,-42.7633247375488,-22.68137550354,101.55322265625,-247.976318359375,-182.39973449707,-50.6842384338379,39.9321250915527,-286.120513916016,-175.032196044922,-6.08866024017334,18.6383686065674,-253.398300170898,-51.3708419799805,36.8526077270508,-286.091949462891
-178.146102905273,-157.322662353516,-85.3962631225586,32.0773468017578,-636.3271484375,-264.918670654297,-99.1966018676758,-98.0384292602539,-149.287384033203,-323.326507568359,123.627105712891,-221.247924804688,-191.627868652344,-198.518844604492,-214.388885498047,-162.186965942383,-0.778851270675659,60.2704887390137,-193.548248291016,-205.724731445312,-35.991081237793,-53.6644821166992,-197.335388183594,-221.951019287109,5.9749550819397,-6.4198956489563,-271.651336669922,-104.961700439453,134.830169677734,-316.908142089844
-138.216812133789,-111.17822265625,-93.0004730224609,-59.355899810791,-441.956298828125,-287.560241699219,-85.5648498535156,-195.582992553711,-39.961540222168,-415.922698974609,90.3052673339844,-217.396560668945,-161.608688354492,-250.285614013672,-133.759140014648,-227.039703369141,68.1170120239258,30.6780853271484,-100.637855529785,-258.870361328125,-4.11650800704956,-140.823425292969,-76.7194900512695,-306.00244140625,58.2798767089844,-47.4494514465332,-203.56770324707,-133.860946655273,189.948608398438,-331.333282470703
