Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,P7_Col1,P7_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2
135.193969726562,-22.0552787780762,127.65599822998,16.8106479644775,154.222930908203,-41.1209182739258,182.18049621582,-69.274772644043,-97.2259140014648,-6.37770748138428,47.0190658569336,-3.76680159568787,-84.3743515014648,4.94105863571167,-79.333251953125,-40.52197265625,-80.0976181030273,-106.796028137207,-0.409374475479126,-56.7916641235352,172.965347290039,-69.2601165771484,108.851203918457,48.2008323669434
71.0715255737305,-14.1168613433838,97.815559387207,-33.9916152954102,64.2339935302734,-17.4479084014893,178.992446899414,-103.343078613281,-131.62190246582,-26.0521602630615,33.7676544189453,-59.1097068786621,-84.7161178588867,-12.6876707077026,6.17601490020752,-24.074764251709,13.8135185241699,-125.057746887207,65.5048675537109,-37.0177841186523,132.948272705078,-99.5293350219727,90.4412231445312,4.88885402679443
54.6530380249023,-27.1568393707275,55.8725395202637,-119.437690734863,8.27412986755371,-12.0008449554443,153.443664550781,-201.007476806641,-138.002944946289,-72.2232131958008,45.100658416748,-137.267166137695,-57.7660865783691,-47.609748840332,81.9908676147461,-26.3849430084229,6.77048873901367,-68.3299560546875,112.899955749512,12.332633972168,74.9159698486328,-151.568206787109,51.710319519043,-82.3722610473633
40.0319366455078,-33.4981422424316,52.8509063720703,-179.718887329102,25.0564727783203,-40.8124160766602,124.442085266113,-265.333099365234,-126.318389892578,-96.7615127563477,72.1868515014648,-139.028717041016,-38.1479454040527,-32.2446403503418,112.995666503906,-45.0566635131836,-4.28190660476685,24.6112957000732,92.2489395141602,71.9248962402344,65.0679092407227,-176.990982055664,16.2271137237549,-107.646598815918
-4.60286474227905,-4.6445837020874,69.9921798706055,-181.253158569336,60.7620735168457,-18.5811328887939,124.427223205566,-224.914276123047,-113.578193664551,-58.5404434204102,63.6302490234375,-142.464950561523,-39.0276985168457,3.02777314186096,100.635131835938,-72.4902496337891,42.9988059997559,74.2530517578125,64.6337356567383,66.1167755126953,84.500617980957,-159.288101196289,10.0643844604492,-52.9526634216309
-39.1985740661621,3.7072925567627,33.8484382629395,-126.370658874512,47.6748466491699,26.4945945739746,87.6041030883789,-157.321685791016,-95.2700042724609,-26.9854393005371,22.9509429931641,-176.786773681641,-42.2306747436523,19.8376007080078,77.8600234985352,-59.9039916992188,41.6562576293945,97.8582153320312,73.1136856079102,23.1627864837646,40.9177055358887,-129.322052001953,-6.45389270782471,-1.0226149559021
-53.012565612793,-13.4984073638916,-46.6165962219238,-41.6031837463379,-22.9058055877686,7.56905794143677,6.40015411376953,-94.9942016601562,-70.6945419311523,-11.3131065368652,-13.602840423584,-141.188507080078,-29.8738861083984,40.94140625,55.2289581298828,-23.3612365722656,33.9174766540527,58.7362365722656,94.592643737793,-14.4699401855469,-42.4850273132324,-95.4965667724609,-26.0822200775146,31.4251441955566
-59.5816268920898,2.90119457244873,-96.6039047241211,24.0313529968262,-75.3340072631836,-4.2972207069397,-9.89929866790771,-34.3051376342773,-36.9904365539551,20.0149955749512,-64.7847442626953,-31.4110355377197,4.22404861450195,44.7873344421387,15.1566591262817,-31.5000114440918,58.0585441589355,-26.4121742248535,89.6418228149414,-62.8520278930664,-79.3047790527344,-44.3809967041016,3.3624529838562,44.7350082397461
-50.4511032104492,24.4771480560303,-73.1243515014648,25.345796585083,-61.8658905029297,38.7730331420898,5.04424428939819,-13.185152053833,-0.173551201820374,13.9248571395874,-105.877311706543,21.5155982971191,17.1106185913086,32.8979225158691,-40.7373428344727,-55.3550415039062,16.4894142150879,-19.72900390625,23.6572914123535,-77.909782409668,-74.1758880615234,4.11253213882446,41.5896301269531,23.3511390686035
-34.4612007141113,21.3357467651367,-8.30234432220459,-3.16450047492981,-42.5825004577637,54.0917854309082,-34.8343467712402,-22.5394630432129,7.44942855834961,-2.50868487358093,-59.7008819580078,-20.6156806945801,3.80342864990234,36.0182495117188,-62.6731796264648,-38.1099624633789,-60.0308456420898,31.5411376953125,-46.3431129455566,-54.3814582824707,-66.7632446289062,23.5561237335205,49.1855010986328,19.4787578582764
