Fp1_Col1,Fp1_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,F8_Col1,F8_Col2,T7_Col1,T7_Col2,T8_Col1,T8_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2
-94.6062240600586,-149.584381103516,-104.734550476074,-154.698837280273,-48.3221893310547,-228.998474121094,-38.267147064209,-256.498382568359,189.146423339844,-187.586959838867,96.1264953613281,-224.231506347656,179.185455322266,-127.638900756836,192.349517822266,-88.1927490234375,151.010986328125,-116.821128845215,-163.172927856445,-209.475830078125,-25.443078994751,-153.176254272461,-34.269947052002,-281.497497558594,20.1508331298828,-67.1062393188477,-117.539916992188,-186.459991455078,26.7241020202637,-298.422485351562
-134.628128051758,-274.699890136719,-56.3112907409668,-238.596527099609,-24.9840545654297,-242.972778320312,-111.352035522461,-289.006439208984,135.32258605957,-273.308197021484,-5.56326770782471,-241.280014038086,98.5244979858398,-155.423477172852,160.855377197266,-11.5124015808105,82.0199279785156,-99.1916961669922,-108.228843688965,-212.505142211914,-47.5919303894043,-159.922653198242,-95.3911590576172,-333.287109375,35.2132720947266,-151.853317260742,-147.30158996582,-252.827728271484,-42.1349182128906,-350.432525634766
-64.837516784668,-312.172882080078,-42.2488288879395,-279.224487304688,-1.52963376045227,-266.113067626953,-79.2375183105469,-254.822784423828,22.753589630127,-276.020599365234,6.25443077087402,-185.117813110352,19.7138538360596,-109.922492980957,170.261016845703,19.9736003875732,36.3484573364258,-49.9896659851074,-55.1602554321289,-266.844421386719,-54.9844856262207,-177.322082519531,-69.6541061401367,-289.820983886719,22.4985008239746,-213.128082275391,-124.630844116211,-240.064651489258,-81.5302124023438,-330.763061523438
-12.2942237854004,-299.065887451172,-88.6420059204102,-266.333740234375,44.0386772155762,-255.728408813477,-4.24031829833984,-217.75764465332,-26.2365169525146,-238.63542175293,56.4762573242188,-100.58194732666,-1.62100410461426,-88.1962661743164,238.275909423828,74.6349334716797,46.0957336425781,-49.373104095459,-109.985000610352,-278.823577880859,-17.3300228118896,-161.870727539062,-10.4171257019043,-212.501663208008,-39.3729629516602,-256.381286621094,-104.66739654541,-226.965209960938,-40.2758827209473,-364.420471191406
-70.8061752319336,-295.834045410156,-155.986099243164,-249.14192199707,79.9186782836914,-259.523559570312,-8.48455238342285,-229.418365478516,-8.28919696807861,-274.067016601562,47.6633148193359,-97.1834030151367,37.3963928222656,-132.155776977539,264.276794433594,45.550853729248,78.3086242675781,-115.947654724121,-191.492782592773,-212.728713989258,-52.9637451171875,-129.457214355469,-9.13873958587646,-181.175704956055,-91.8805923461914,-202.390197753906,-139.835037231445,-253.794845581055,11.2786712646484,-416.7607421875
-161.818023681641,-264.283843994141,-181.851898193359,-226.182922363281,9.2612247467041,-273.606536865234,-49.7966995239258,-214.297729492188,-35.8374481201172,-292.922393798828,22.8598213195801,-98.0347900390625,53.8568344116211,-120.602668762207,186.295547485352,-12.7161407470703,56.8927459716797,-88.9425888061523,-198.594131469727,-146.415542602539,-142.566131591797,-161.61799621582,-74.5888519287109,-128.041198730469,-89.7782135009766,-116.703552246094,-190.170639038086,-266.139282226562,-1.07278215885162,-358.856079101562
-183.00830078125,-200.189819335938,-131.682022094727,-172.16471862793,-53.855281829834,-274.216705322266,-61.7796516418457,-146.780426025391,-88.1567306518555,-246.048904418945,-11.6481685638428,-39.8561592102051,-4.47133111953735,-55.8482513427734,122.559730529785,-13.3819007873535,-11.075737953186,-22.4782104492188,-112.02188873291,-97.2424163818359,-158.640731811523,-268.671722412109,-133.010879516602,-51.6230545043945,-119.419708251953,-148.21076965332,-178.786178588867,-247.333770751953,-51.0377883911133,-285.515625
-137.706481933594,-171.326934814453,-65.8222427368164,-114.31298828125,-38.1804580688477,-302.469146728516,-84.609733581543,-96.0547027587891,-106.579879760742,-224.273284912109,-89.4634246826172,-17.1010322570801,-48.659122467041,-54.3025016784668,67.7965927124023,-51.6917572021484,-77.6722183227539,-40.0704727172852,-6.75899076461792,-76.3808059692383,-152.434692382812,-321.732238769531,-166.355819702148,-16.2624607086182,-145.375900268555,-243.754486083984,-115.988868713379,-194.585037231445,-103.900161743164,-293.338256835938
-70.3826904296875,-170.810943603516,-53.2894020080566,-90.5903854370117,-97.8921432495117,-361.554016113281,-140.060363769531,-76.6452178955078,-118.912033081055,-247.792190551758,-171.079406738281,-36.8080062866211,-44.4812316894531,-103.447463989258,-92.9480209350586,-66.2916793823242,-134.148223876953,-58.2264976501465,-34.1904449462891,-101.644607543945,-182.75910949707,-276.292297363281,-198.421264648438,-38.0151901245117,-60.1054039001465,-271.815338134766,-73.3829803466797,-135.824142456055,-148.719711303711,-318.955932617188
-53.6861610412598,-123.393371582031,-87.1113891601562,-101.229675292969,-203.458847045898,-404.184631347656,-197.850173950195,-78.1271057128906,-134.163208007812,-264.723052978516,-204.986923217773,-58.3170280456543,-65.4839019775391,-150.834884643555,-183.75471496582,0.0574399158358574,-140.104110717773,-65.1909255981445,-162.068206787109,-129.694915771484,-180.490005493164,-203.062728881836,-226.793548583984,-140.197311401367,2.03899478912354,-221.261505126953,-97.9524688720703,-126.114280700684,-204.536285400391,-286.141479492188
