Fp1_Col1,Fp1_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,T7_Col1,T7_Col2,P7_Col1,P7_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2,Pz_Col1,Pz_Col2
81.9543609619141,-227.061248779297,93.9320526123047,-297.137023925781,-222.248672485352,201.477737426758,-102.366073608398,-150.15251159668,-124.246704101562,166.758514404297,-181.069625854492,-166.550109863281,-451.718292236328,257.884704589844,-245.273956298828,-158.729476928711,-142.481887817383,144.031463623047,-84.7811660766602,-73.2637710571289,-192.450225830078,-120.802543640137,-191.404495239258,-87.247314453125,-14.2474679946899,-108.684387207031,28.0848064422607,110.955017089844,-173.950576782227,-59.9512977600098
62.8780136108398,-321.631652832031,75.059814453125,-335.274566650391,-161.250747680664,205.02912902832,-69.981575012207,-144.780914306641,-56.8985481262207,210.172805786133,-82.4104461669922,-174.677307128906,-344.376159667969,290.0166015625,-169.311538696289,-152.049499511719,-95.2570419311523,190.892288208008,-63.0898132324219,-169.889312744141,-123.184097290039,-109.900199890137,-110.072135925293,-99.4939498901367,-0.23913300037384,-112.402732849121,53.5153198242188,114.58073425293,-116.946617126465,-55.9365348815918
24.1794776916504,-312.424102783203,59.7765312194824,-346.302001953125,-186.270416259766,158.19206237793,-68.7072830200195,-165.274200439453,-70.4916839599609,207.493515014648,-14.585467338562,-148.846420288086,-313.066070556641,250.496353149414,-150.224838256836,-155.118850708008,-128.242156982422,151.248931884766,-76.6834716796875,-160.680526733398,-89.9564971923828,-86.8022232055664,-73.2502593994141,-54.1227531433105,13.8723764419556,-100.052688598633,20.7287120819092,65.9485549926758,-84.499153137207,-46.2552719116211
15.4922742843628,-248.02751159668,37.7836990356445,-303.113220214844,-267.844818115234,54.8854522705078,-65.0407943725586,-196.151107788086,-96.1527633666992,124.894989013672,-14.48619556427,-107.642181396484,-318.996459960938,158.377975463867,-112.759910583496,-132.762817382812,-172.19841003418,73.6340942382812,-91.271728515625,-132.687118530273,-88.9000701904297,-74.519660949707,-58.3960838317871,-1.16534376144409,27.4160003662109,-114.944702148438,-32.8481597900391,-21.5598983764648,-41.9303169250488,-65.2806015014648
-0.342999964952469,-241.526351928711,-61.6100730895996,-268.792358398438,-68.1455383300781,23.2039794921875,-72.7970962524414,-177.241790771484,-62.8063545227051,61.2973861694336,-95.6716079711914,-105.775520324707,-153.737808227539,109.299507141113,-147.80290222168,-109.277778625488,-141.493225097656,77.8788604736328,28.024730682373,-151.977783203125,-104.894737243652,-62.3286323547363,-127.339073181152,-13.3388423919678,52.9254989624023,-115.432334899902,34.4204406738281,-50.4865036010742,-43.5000267028809,-90.9560546875
-76.47314453125,-200.693954467773,-202.435180664062,-234.554061889648,327.840423583984,40.720874786377,-122.673965454102,-117.798698425293,15.870322227478,75.7110061645508,-210.894912719727,-112.146438598633,154.123931884766,114.939842224121,-306.500549316406,-59.5749588012695,-96.8203735351562,152.609237670898,189.53971862793,-124.034454345703,-138.077133178711,-18.1044654846191,-245.815399169922,-7.95898151397705,88.4341506958008,-77.3826293945312,174.086288452148,-17.6061267852783,-100.550415039062,-52.7622146606445
-161.350296020508,-92.0482864379883,-267.821197509766,-154.119216918945,439.935333251953,50.8853607177734,-188.297698974609,-50.3846435546875,85.8075942993164,87.4007034301758,-249.349990844727,-69.31884765625,301.079467773438,134.756576538086,-368.684265136719,-0.669691979885101,-73.2442855834961,189.987884521484,170.033004760742,-47.9819869995117,-153.905502319336,10.7839317321777,-252.07487487793,21.8096008300781,81.0400772094727,-64.9367904663086,221.278228759766,20.0400581359863,-119.236709594727,-37.3423652648926
-193.573028564453,-55.0857849121094,-249.471801757812,-107.433113098145,316.395629882812,42.2746810913086,-201.249984741211,-19.1321029663086,120.239456176758,67.838981628418,-195.757675170898,-34.1003646850586,248.544448852539,126.839500427246,-275.267822265625,-5.38875579833984,-9.22158718109131,158.818939208984,44.643856048584,-32.341381072998,-123.648452758789,-5.05114841461182,-158.127471923828,-9.29858589172363,29.1960716247559,-90.9383163452148,202.709411621094,40.365608215332,-87.9727935791016,-83.7565078735352
-177.894332885742,-58.569507598877,-241.55451965332,-101.232406616211,272.149108886719,-0.372316956520081,-162.00959777832,-27.2835884094238,132.570953369141,75.2046737670898,-146.259552001953,-18.1856327056885,205.58056640625,93.1888046264648,-210.980422973633,-3.79656481742859,63.6120223999023,122.889457702637,14.9551286697388,-37.136474609375,-98.0225143432617,10.6997680664062,-96.224250793457,-12.2582988739014,-17.2225303649902,-67.3267211914062,182.92268371582,44.2064552307129,-71.0314025878906,-31.5109100341797
-164.513793945312,14.9889087677002,-267.379089355469,-34.7067985534668,248.358200073242,-8.38621520996094,-145.099029541016,13.1456651687622,141.709289550781,102.95475769043,-146.699325561523,43.674617767334,221.694107055664,106.938186645508,-192.628204345703,77.1844253540039,96.602409362793,120.637001037598,18.8833236694336,16.2201251983643,-109.193305969238,56.6960906982422,-79.3499221801758,64.1530990600586,-63.397575378418,30.7513866424561,138.724670410156,40.7583045959473,-65.9463806152344,76.7813720703125
